"Wood_density","Leaf_N","SLA","Seed_mass","Height","Leaf_P","species"
0.721,16.4517308069275,12.4918661125482,900.498048376476,10.7699823713127,1.30704244612378,"Humiriastrum_cuspidatum"
0.746418187462462,12.6,6.71844627,900.498048376476,10.7699823713127,1.30704244612378,"Humiriastrum_diguense"
0.75,16.4517308069275,12.4918661125482,900.498048376476,10.7699823713127,1.30704244612378,"Humiriastrum_excelsum"
0.69,16.4517308069275,12.4918661125482,900.498048376476,10.7699823713127,1.30704244612378,"Humiriastrum_colombianum"
0.6,16.4517308069275,12.4918661125482,900.498048376476,10.7699823713127,1.30704244612378,"Humiriastrum_melanocarpum"
0.77156,16.4517308069275,12.4918661125482,900.498048376476,10.7699823713127,1.30704244612378,"Humiriastrum_obovatum"
0.625714285714286,16.4517308069275,12.4918661125482,900.498048376476,10.7699823713127,1.30704244612378,"Humiriastrum_procerum"
0.78226,16.4518405226169,12.4920305671193,900.498048376476,10.7699823713127,1.30704244612378,"Sacoglottis_cydonioides"
0.835816192214286,16.4518405226169,12.4920305671193,900.498048376476,10.7699823713127,1.30704244612378,"Sacoglottis_guianensis"
0.730613461538462,16.8292618531202,13.2449108853793,900.498048376476,10.7699823713127,1.30704244612378,"Humiria_balsamifera"
0.7,14.2,13.2449108853793,900.498048376476,10.7699823713127,1.30704244612378,"Vantanea_barbourii"
0.83188693775,16.6413780746092,13.2449108853793,900.498048376476,10.7699823713127,1.30704244612378,"Vantanea_macrocarpa"
0.975,16.6413780746092,13.2449108853793,900.498048376476,10.7699823713127,1.30704244612378,"Vantanea_micrantha"
0.77,16.6413780746092,13.2449108853793,900.498048376476,10.7699823713127,1.30704244612378,"Vantanea_paraensis"
1,16.9541238130854,13.2449108853793,900.498048376476,10.7699823713127,1.30704244612378,"Schistostemon_retusum"
0.818110839,16.9541238130854,13.2449108853793,900.498048376476,10.7699823713127,1.30704244612378,"Duckesia_verrucosa"
0.794412588142857,16.9541238130854,13.2449108853793,900.498048376476,10.7699823713127,1.30704244612378,"Endopleura_uchi"
0.8325425,24.5785921548622,20.082245884416,476.731915224283,9.36684376976341,1.43391326677731,"Pogonophora_schomburgkiana"
0.67,25.3178337138565,18.1057441304893,312.391103051292,9,1.40687456079845,"Pera_glabrata"
0.604408,19.4,15.471,312.391103051292,9.20960484290313,1.40687456079845,"Pera_bicolor"
0.73,26.054805137186,18.4338593202435,312.391103051292,9.23570776956181,1.40687456079845,"Pera_coccinea"
0.73,35.363,18.4338593202435,17,9.23570776956181,1.35827438,"Pera_arborea"
0.804938333333333,10,22.2946996519773,280.583574749641,9.54113336495612,1.52255562117779,"Chaetocarpus_schomburgkianus"
0.350040625,26.396064369984,14.8,184.404684546531,8.92189697035325,1.58108041843168,"Mallotus_paniculatus"
0.540674151189022,26.3945900789096,22.5034531480447,378.757142857143,8.84765046754229,1.58301201987177,"Ricinus_communis"
0.540674151189022,26.3909749994718,48.063,1.53333333333333,0.26875,1.58774846084293,"Mercurialis_annua"
0.540674151189022,26.3243941769627,18.6942695219808,127.504803452096,7,1.67498198946927,"Acalypha_macrostachya"
0.540674151189022,26.3243941769627,18.6942695219808,127.504803452096,6,1.67498198946927,"Acalypha_diversifolia"
0.540674151189022,26.3243941769627,18.6942695219808,0.614,0.6,1.67498198946927,"Acalypha_virginica"
0.540674151189022,26,3.86100386100386e-05,4,4,2.1,"Acalypha_skutchii"
0.54318,30.656,22.5171203812101,15.6265,13,1.50183,"Adelia_triloba"
0.87,27.559346819599,22.5171203812101,140.385797186404,9.91512322375703,1.57105655778422,"Adelia_oaxacana"
0.560106657307004,27.0108872193516,22.5171203812101,32.4091721311475,9.30013010120584,1.588064403722,"Dalechampia_scandens"
0.560106657307004,30.649,22.5171203812101,162.788979474434,9.30013010120584,1.75745,"Bernardia_nicaraguensis"
0.35946,46.2875,38.771,184.582731877436,11.2454619205927,1.33169,"Alchorneopsis_floribunda"
0.518185150957299,25.3,16.477,184.582731877436,11.2454619205927,1.53272107183547,"Caryodendron_orinocense"
0.65,26.5412426708642,22.7112940426,184.582731877436,11.2454619205927,1.53272107183547,"Caryodendron_amazonicum"
0.43,25.2270738959877,23.621362568712,141.730264114752,13.5632322761164,1.46638410045563,"Conceveiba_martiana"
0.54331,25.2270738959877,23.621362568712,141.730264114752,13.5632322761164,1.46638410045563,"Conceveiba_guianensis"
0.2659791065,24,23.621362568712,141.730264114752,13.5632322761164,1.00636861,"Conceveiba_pleiostemona"
0.42957425988586,20.8,17.894,141.730264114752,13.5632322761164,1.46638410045563,"Conceveiba_rhytidocarpa"
0.39,33.8,31.553,141.730264114752,13.5632322761164,1.49351659243507,"Aparisthmium_cordatum"
0.426666666666667,22.71177,23.851884059636,34,15,1.20932,"Alchornea_latifolia"
0.30122,24.9458275995728,23.851884059636,24.8015,19,1.55021707955574,"Alchornea_costaricensis"
0.427634197314665,24.7,23.851884059636,130.345940655772,14.1789785518511,1.55021707955574,"Alchornea_grandiflora"
0.399533333333333,30.7,24.472,80,14.1789785518511,1.55021707955574,"Alchornea_glandulosa"
0.466666666666667,24.9,23.451,100,23,1.55021707955574,"Alchornea_triplinervia"
0.42,24.9458275995728,23.851884059636,130.345940655772,14.1789785518511,1.55021707955574,"Alchornea_discolor"
0.427634197314665,23,23.851884059636,130.345940655772,14.1789785518511,2.38,"Alchornea_rugosa"
0.34,12.65,23.851884059636,130.345940655772,14.1789785518511,1.55021707955574,"Alchornea_grandis"
0.34,24.9458275995728,23.851884059636,130.345940655772,14.1789785518511,1.55021707955574,"Alchornea_castaneifolia"
